epoch,config_id,anchor_rel_l2,hard_mult
0,0,0.985586404800415,1.0
0,1,1.061126470565796,1.0
0,2,1.0300755500793457,1.0
0,3,1.060997486114502,1.0
0,4,1.110785722732544,1.8
0,5,1.0576726198196411,1.0
0,6,1.0591528415679932,1.0
0,7,1.034175157546997,1.0
0,8,1.0716071128845215,1.8
0,9,1.0443718433380127,1.0
0,10,1.073201060295105,1.8
0,11,0.882636547088623,1.0
0,12,1.0360509157180786,1.0
0,13,1.0364736318588257,1.0
0,14,1.0567634105682373,1.0
0,15,1.088723063468933,1.8
0,16,0.8997519612312317,1.0
0,17,0.8889067769050598,1.0
0,18,1.038970708847046,1.0
0,19,0.8952759504318237,1.0
0,20,1.0477837324142456,1.0
0,21,0.9069277048110962,1.0
0,22,1.0419212579727173,1.0
0,23,0.9873174428939819,1.0
0,24,0.904540479183197,1.0
0,25,1.0637550354003906,1.0
0,26,0.9946237802505493,1.0
0,27,1.0358909368515015,1.0
0,28,1.0905609130859375,1.8
0,29,1.0153477191925049,1.0
0,30,1.0725295543670654,1.8
0,31,1.0867351293563843,1.8
0,32,1.0581845045089722,1.0
0,33,0.9802309274673462,1.0
0,34,1.0379873514175415,1.0
0,35,0.8861078023910522,1.0
0,36,1.0155448913574219,1.0
0,37,0.9900999665260315,1.0
0,38,1.068641185760498,1.8
0,39,0.888210654258728,1.0
0,40,0.8971171975135803,1.0
0,41,0.8977205753326416,1.0
0,42,1.0320888757705688,1.0
0,43,1.1062870025634766,1.8
0,44,1.0200496912002563,1.0
0,45,1.0664159059524536,1.8
0,46,1.054956316947937,1.0
0,47,1.085985779762268,1.8
0,48,0.8870282173156738,1.0
0,49,1.103538155555725,1.8
0,50,1.0385643243789673,1.0
0,51,1.0415936708450317,1.0
0,52,1.0996769666671753,1.8
0,53,1.0568467378616333,1.0
0,54,0.8886860609054565,1.0
0,55,1.051472544670105,1.0
0,56,1.0269379615783691,1.0
0,57,0.9893607497215271,1.0
0,58,1.0734806060791016,1.8
0,59,1.0893726348876953,1.8
0,60,1.0208829641342163,1.0
0,61,1.0896440744400024,1.8
0,62,0.9995351433753967,1.0
0,63,1.0367228984832764,1.0
0,64,1.0225505828857422,1.0
0,65,0.9915547966957092,1.0
0,66,1.068755030632019,1.8
0,67,1.02052903175354,1.0
0,68,0.9022461771965027,1.0
0,69,0.8936353325843811,1.0
0,70,1.0650843381881714,1.0
0,71,1.1124898195266724,1.8
0,72,1.1138001680374146,1.8
0,73,1.0777547359466553,1.8
0,74,1.0603444576263428,1.0
0,75,0.9104911684989929,1.0
0,76,0.9948389530181885,1.0
0,77,1.0101834535598755,1.0
0,78,0.9110304117202759,1.0
0,79,1.0115772485733032,1.0
0,80,1.090444564819336,1.8
0,81,1.064545750617981,1.0
0,82,1.0226460695266724,1.0
0,83,1.0217763185501099,1.0
0,84,1.0139480829238892,1.0
0,85,0.9851921796798706,1.0
0,86,1.0439040660858154,1.0
0,87,1.087639570236206,1.8
0,88,1.0033477544784546,1.0
0,89,0.9970517158508301,1.0
0,90,1.0212510824203491,1.0
0,91,1.028895616531372,1.0
0,92,1.0583077669143677,1.0
0,93,0.8988791704177856,1.0
0,94,0.9048529267311096,1.0
0,95,1.103784203529358,1.8
0,96,1.076490879058838,1.8
0,97,1.099565863609314,1.8
0,98,1.0104385614395142,1.0
0,99,1.0642611980438232,1.0
0,100,0.896992027759552,1.0
0,101,1.003231406211853,1.0
0,102,1.0342652797698975,1.0
0,103,1.0642417669296265,1.0
0,104,0.9140446782112122,1.0
