sample_idx,ok,reason,nodes,vel_min,vel_max,vel_mean,p_min,p_max,p_std,u_abs_max,has_mu,mu_min,mu_max,nan_ratio,quality_flags
0,True,,2461,1.7170162302110533e-07,0.19306821951218125,0.12093379553466711,-0.4128325620538166,9.859147907585093,2.8227759818523457,0.18798472938878483,True,0.004706909870096124,0.054204789094554943,0.0,
1,True,,2244,4.4906488694972215e-07,0.2081533430480495,0.13019452234973794,-0.21031445623133455,10.057826308102706,2.469106555346831,0.20632171879344144,True,0.0046549153051643095,0.0495933456813465,0.0,
10,True,,3015,5.384300834827384e-07,0.15053067111995352,0.0963263575566592,-0.5268896701198058,5.177472071908593,1.3785533166169772,0.14975512539344776,True,0.00498139068382885,0.05563232917606797,0.0,
100,True,,2575,3.751111569929703e-08,0.19321670803316804,0.11732035380865127,-0.07391555695494512,7.393564045709297,2.194908195120268,0.1929635106858128,True,0.004587660660985183,0.053133533750339995,0.0,
1000,True,,2988,9.438708860601914e-08,0.16290294369683556,0.10349810238983148,-0.8414561181221376,5.706708735757191,1.9825925149237908,0.1511750012082962,True,0.004825080543930697,0.05424030399240935,0.0,
1001,True,,2383,2.282941762110745e-07,0.20707289127430858,0.12757770522309886,-0.10807399489941111,8.713732839472678,2.459271469147259,0.20706891976768377,True,0.0045344457574268745,0.04975785976430574,0.0,
1002,True,,2030,4.629290329239321e-07,0.3026772250736663,0.16064188542834965,-10.280278824825052,27.52628792970468,11.22158663597565,0.2335448300009884,True,0.004146366145375758,0.03899725697364528,0.0,
1003,True,,2475,2.0025266480590835e-08,0.27563102523540967,0.12990008974000555,-15.11256999262256,16.42306014533304,8.153938983100844,0.2557182199776763,True,0.004113360978448387,0.046546559412365816,0.0,
1004,True,,3432,4.019296885416485e-07,0.1326842946654165,0.08669055225706696,-0.7741386231834257,4.748212624934782,1.2702257403614017,0.13098543925367154,True,0.005042705825523436,0.05539191221146355,0.0,
1005,True,,3598,3.8137534696973805e-08,0.12765960481747501,0.08068775722990609,-1.0208102505866181,4.672578054441343,1.3205692660541597,0.12098145519362322,True,0.004984936228308635,0.055709374995873785,0.0,
1007,True,,1900,3.193055186992564e-07,0.2826325920133013,0.1665871164242089,-5.879374858866757,17.61849290788606,6.8421397685881615,0.2824458084035339,True,0.004177378117737039,0.046780743152432275,0.0,
1008,True,,3181,4.7213290372637604e-07,0.14282193339335106,0.08782260333734844,-0.5164426712608928,4.498204281678775,1.1418683161780592,0.14012738456141438,True,0.0049427881912312704,0.05268256539973797,0.0,
101,True,,3301,3.125471183596359e-08,0.14662064795518304,0.09095645855783076,-1.132889428819359,5.2193917164421,1.4084013812543248,0.14053464493005197,True,0.0048951486827067976,0.05496892778335117,0.0,
1011,True,,3576,1.1817031361960838e-07,0.1279320796502269,0.0838987263027108,-0.1411738549867297,2.911911077201365,0.8518971823921266,0.127920699790009,True,0.005294260402697539,0.0544735978107769,0.0,
1012,True,,3369,4.0025307287481634e-07,0.15314487475988608,0.09118038474235884,-4.335163005949595,5.338084917564535,1.9067818163303316,0.13052816001085532,True,0.004508830169064746,0.05563321494743748,0.0,
1013,True,,2245,1.9798895292561167e-08,0.20679834138391134,0.13031350264307,-0.05672964652895554,9.32755249570047,2.6097007020005942,0.2067858491801554,True,0.004639351684558854,0.05310198623803328,0.0,
1014,True,,2192,8.824310166896837e-08,0.35626736819449195,0.14914719617340044,-24.490996919382138,29.034268565344004,16.386109289573227,0.35626420634000605,True,0.0039917405003392515,0.036628675624768174,0.0,
1015,True,,2615,8.787525801856374e-08,0.18976636903613525,0.11891290112131515,-1.6316929243615228,8.857706330802337,2.791753305629636,0.17452197860499014,True,0.0046510203095123034,0.05388621741919979,0.0,
1017,True,,3468,2.4761516619913896e-07,0.13705576581175277,0.08627334313545329,-0.5890975234771445,4.558330066182875,1.408774900806037,0.12842269199877251,True,0.004922112516844211,0.05576071480452456,0.0,
1018,True,,1915,2.707056606904737e-07,0.31830584863050254,0.16728279304967666,-11.527858319177618,23.9192668912335,11.098783190241203,0.31830386040972675,True,0.004064385472614047,0.03424221153796465,0.0,
1019,True,,3648,1.2454743409658262e-08,0.12398384268678457,0.07974058408217535,-0.43330673720234325,2.811211508547391,0.7481346497407028,0.1239810602684318,True,0.005113871275169059,0.05546699709672959,0.0,
102,True,,2345,1.0878561019293416e-06,0.19952664431859332,0.1260044504753734,-0.1277246666503436,8.56775041581633,2.8565678124598746,0.19949889720171543,True,0.004660653343013584,0.051800153183285694,0.0,
1021,True,,3980,3.7974803603505186e-09,0.11800492044440328,0.07620988534865632,-0.6361742006604536,2.777904752638989,0.927823483698211,0.11029139550210766,True,0.005319377612005355,0.05514352366131147,0.0,
1022,True,,3266,8.422255345606646e-08,0.15006489128275916,0.09225274701584586,-0.4960217387830656,5.509423189230971,1.5234093654382599,0.14115203094376053,True,0.004787611724385321,0.055753438441106425,0.0,
1023,True,,3397,6.114632581804082e-07,0.1348362856778728,0.08705139217979153,-0.11534122765319064,3.8165372164869913,1.0870785299762833,0.1307015658299179,True,0.005096247944208124,0.05569667182086279,0.0,
1024,True,,3863,7.152036731473856e-08,0.11966463624257725,0.07713904414078777,-1.3736158883813372,3.4900169102860152,0.9700028856377858,0.11275384958623896,True,0.005017862660056225,0.055181954233708495,0.0,
1025,True,,4077,4.9726579577251174e-08,0.11026267584153046,0.07274059493906315,-0.4175150144356823,3.08842878596552,0.8463017463341521,0.10695034962684315,True,0.005405271966553214,0.05584877800061189,0.0,
1026,True,,3354,9.25007641525311e-08,0.1381655247702149,0.08720247702657223,-0.5519074152695267,3.9917362125701654,1.0741640455088828,0.13195516817457137,True,0.005034714624294369,0.05474452917145662,0.0,
1028,True,,4567,9.523422125837582e-10,0.09890736831545291,0.06327756617977139,-0.4369785702134132,2.7253998645840687,0.8195258683472987,0.09584684401855574,True,0.005481791750540945,0.055733216320670034,0.0,
1029,True,,3704,8.458723883640451e-08,0.12224255194789371,0.08220216308879012,-0.8419582003922249,3.4713211307973615,1.005091269503817,0.11911745980582145,True,0.005245881234494306,0.055942405301456936,0.0,
103,True,,2629,4.293789376509462e-07,0.18181444348392284,0.10768096314046305,-2.455627069161822,10.562358924614562,3.259772993056573,0.1725022957926929,True,0.0045692114566810525,0.05186175254159093,0.0,
1030,True,,4320,2.749717622200767e-08,0.10737945522024248,0.06728291392513963,-0.5025011187759549,3.4194039837235293,1.1113111531112223,0.10156323111391795,True,0.005363593215379119,0.055639101258004066,0.0,
1031,True,,3346,3.7853944017665555e-09,0.13971204511385604,0.08846055879302261,-0.4498529486842688,4.954713302842842,1.5686988502584784,0.1334137892657493,True,0.004929240580237345,0.055093180531719896,0.0,
1032,True,,3718,2.270818656156773e-07,0.13723050731829667,0.08352616521064501,-1.4432024689476537,4.580394571871172,1.6209126091198105,0.12821032191607923,True,0.004771770078277789,0.05467832625131065,0.0,
1033,True,,2500,6.347746732481442e-07,0.21068877273920436,0.12493412324857686,-5.871919391117498,11.225006826686627,4.026343513648845,0.18454948430186477,True,0.00436416445868355,0.048934609581682345,0.0,
1034,True,,2233,2.1748230806938498e-06,0.22410493555224278,0.13893039663206758,-1.5838357659869822,13.28530025593995,3.6982199979537675,0.2116986926249553,True,0.0044011231294816015,0.04946487488502244,0.0,
1036,True,,2883,1.8893504309827818e-07,0.17229321987446145,0.1046167467227554,-2.5510526566008207,6.41225604775932,2.1231101707268976,0.16033915179374558,True,0.004600604200041012,0.053753549232300954,0.0,
1037,True,,3344,3.226424824958285e-09,0.1457602866339477,0.09116112163906663,-1.2997971608726475,6.333601163824612,1.975493672151765,0.13180224917809735,True,0.004730185707229501,0.05505377850327154,0.0,
1038,True,,3840,1.1959859040597279e-07,0.11920191756393554,0.07972444320063655,-0.8925807619643723,3.4102344189419154,1.034325037468515,0.11338853527509722,True,0.005333893981942088,0.05570960861483452,0.0,
104,True,,2774,6.459877541458451e-08,0.17773097181254424,0.1081484839828817,-0.6161740329975787,5.926405168326217,1.965062561359159,0.17773028808730307,True,0.004745872649543509,0.05413781929970142,0.0,
1040,True,,4371,4.7749698295266835e-08,0.10737909064322562,0.06750335567233703,-0.8425348309598849,3.408471795929722,1.130256394680221,0.09814314878414608,True,0.005243311591713253,0.05566298960896034,0.0,
1041,True,,3628,3.491142796929086e-08,0.12582611571353963,0.07970578992090555,-0.7335159203710717,4.1553788851697595,1.145629879958655,0.1221263602192373,True,0.005032610164753347,0.055745799111937354,0.0,
1042,True,,2897,3.1340493710925487e-07,0.16865533833937857,0.10397036851531785,-1.0789813721890604,7.505029223338502,2.155510610505775,0.15806811253825992,True,0.0047494606503933,0.054697872944240056,0.0,
1043,True,,2564,1.9794197308541194e-07,0.19675182100526858,0.11925824080251604,-2.1229733827400894,9.735164541750153,3.168998283453493,0.17753926908104592,True,0.004536043284053282,0.05357140505949538,0.0,
1044,True,,3419,3.471806335156679e-07,0.14253158390789186,0.08724790338333002,-2.090951904042069,4.418485098520651,1.6409714873115824,0.12975135909769733,True,0.004745399487729084,0.053649680666677774,0.0,
